248.78
246.42
246.3
245.68
242.96
246.5
246.9
246.72
244.9
245.34,0.16
240.46,0.031
241.48,0.0075
242.62,0.045
244.64,0.044
241.2,0.041
239.24,0.037
235.38,0.031
231.3,0.025
231.7,0.020
230.36,0.016
223.62,0.011
226.18,0.008
225.82,0.006
227.6,0.005
220.68,0.004
222.12,0.003
221.3,0.002
215.48,0.001
216.4
209.2
218.62
215.4
208.1
198.14
203.76
198.66
199.0
202.52
201.36
203.62
191.54
198.5
202.2
197.6
191.06
195.5
197.88
194.6
193.66
192.32
199.04
196.46
198.8
198.08
193.0
198.06
196.06
186.24
178.2
181.86
178.44
180.6
172.5
172.32
173.48
174.24
172.78
171.38
165.08
166.42
158.46
166.8
168.8
168.0
166.32
169.36
165.5
163.04
162.44
165.16
166.86
168.98
